Category,Item,Description,Price
Shrimp,Cold-Boiled Spiced NC Shrimp,"½ lb, served chilled with cocktail sauce",$15
Fish Dip,Smoked & Deviled Fish Dip,Served with fried crackers 8 oz,$8
Soup,Clam Chowder,Served with fried crackers,$5 / $8
Steamer Bags,Steamer Bag,"Includes: Zora's Seasoning, Potato, Corn, Sambal Butter, Lemon, Buttered Roll, 1/4 lb shrimp, 6 clams (No Substitutions)",$16
Steamer Bags Add-On,2 Blue Crab,,+$6
Steamer Bags Add-On,¼ lb Stone Crab,,+$9
Steamer Bags Add-On,¼ lb cluster Snow Crab,,+$16
Steamer Bags Add-On,¼ lb beef Andouille sausage,,+$4.50
Sides,Hush Puppies,,$4
Sides,Corn Cob,,$4
Sides,Slaw,,$4
Sides,Buttered Dinner Roll,,$4
Sides,Cheese Grits,,$4
Sides,Spiced Boiled Peanuts,,$5
Sides,Pickle,,$2
You Buy We Fry,Fry Service,"Buy any seafood from the market and we'll bread it and fry it for you",$4
You Buy We Fry,3 Sides Deal,dinner roll + choice of 2 sides,$7
Sandwiches,Fried Shrimp Burger,"with sweet & spicy chili slaw, served with chips",$12.50
Sandwiches,Smoked BBQ Swordfish,"with slaw & spicy tomato molasses sauce, served with chips",$12.50
